age,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
0,8.048124992,8.07928987,8.004600549,9.040371997,9.89927813,8.698095867,8.321691029,11.81673959,26.71520919,29.46490066,29.6535366
1,16.02884545,15.2335307,14.98375248,15.44394684,17.8154331,14.75434836,11.98690272,14.09844484,24.98978872,29.05575896,30.21378097
2,15.85839079,16.14310319,15.5521423,16.34792557,17.2113803,14.95974594,12.4812894,14.4006691,23.50019995,29.38842133,30.90633945
3,14.77700426,14.72840404,14.95406279,15.27997036,16.59640286,13.63444905,11.24343547,14.50915146,24.67053637,29.20512344,32.41348027
4,13.34155115,13.6070737,13.49847803,14.58418669,15.30612424,13.13266855,10.12523969,12.45330695,21.99943343,26.44074858,28.86520252
5,13.22785007,12.41576967,12.46338303,13.32800406,14.84941977,12.23683003,9.76945575,11.52227081,19.85851229,24.90077565,27.08671802
6,12.07197786,12.23516662,11.47205802,12.59811391,13.67433988,11.85253763,9.393807603,11.64795853,20.34281666,26.88124799,33.16032153
7,11.85000097,11.69375301,12.12744661,12.1164601,13.4073283,11.66673957,9.688516155,11.87418591,19.33946269,24.77388563,28.48226109
8,10.4355042,10.46380587,10.04199268,11.03625009,11.47606331,9.89564433,8.219181174,10.32095269,17.35841047,21.32479777,22.83356558
9,10.43119948,9.670020595,9.612434363,10.17670904,11.26241292,9.230234981,7.246875569,9.393110493,16.34126181,20.46661939,22.04836634
10,9.169668622,9.75430781,9.026576014,9.598601628,10.09153958,8.932782669,7.239409754,8.524032262,15.4586484,19.67952436,21.40437311
11,8.716973488,8.495521918,8.994316073,9.202945053,9.69872305,8.570525248,7.044786078,8.444095748,14.73185621,18.76440414,20.98989385
12,8.031622216,8.063142033,7.7628535,8.931722208,9.106992742,7.923372402,6.459341462,8.246582994,14.32907553,17.39078124,19.30319006
13,8.048226468,7.777975978,7.826617923,8.080276938,9.329565963,7.822447488,6.147542454,7.792541533,14.0958,17.18002567,18.54684432
14,6.690382893,6.591683702,6.841052629,7.18922902,7.680336519,8.80747708,7.593504799,9.297804254,18.03265268,21.3227891,22.46581918
15,9.007549219,9.313935542,9.298798403,9.288615295,9.721219105,9.817452953,9.472664203,10.94071878,21.512987,27.78155718,30.81885677
16,11.36210234,11.67804488,11.44969529,11.1078678,12.27200477,13.90265479,13.77936518,18.01375141,35.77881484,46.1016833,55.73988256
17,26.87199387,26.73641043,24.79473726,23.95583802,22.58827652,23.24133114,21.98965183,23.0126483,47.22418859,61.4153171,70.13027279
18,27.52874934,28.13816216,26.29279327,24.45943539,24.7600778,25.61436886,25.25722945,31.17190672,64.39080872,96.14344449,112.4473426
19,25.37992436,24.71169621,23.97411795,22.82880299,22.27538293,21.5631816,18.89825519,20.48157637,38.12641584,53.85171879,63.77403835
20,30.06468991,28.37886882,27.71485332,27.51406647,27.1799035,24.78537708,21.96336952,21.84517631,40.27447002,53.61921619,62.76163544
21,30.93173499,29.94468437,27.54805771,25.60009521,26.12180074,24.60744545,21.18622378,21.08235361,34.57152025,45.51203027,52.74727949
22,37.52886761,36.51966396,35.36420915,32.66773662,32.14468554,30.66127271,27.2375626,25.98557227,40.35400662,48.89043146,52.4192153
23,35.00380033,33.03334254,32.86369246,32.90803135,31.75358937,29.9335828,27.74206855,27.65919386,40.62474341,49.51201538,50.30748863
24,30.80929413,28.79521952,27.98157178,29.52958111,30.42568068,28.35546827,25.52209726,27.11226767,40.44721091,48.36339068,49.61859926
25,27.79118038,26.44948526,25.56028019,26.3748976,28.59325316,27.9970257,24.39022414,25.83940917,38.42360326,48.02494044,49.39888372
